skater,trick,date,url,stance,status
boo johnson,frontside shuvit nosegrind ,08-19-2014,http://theberrics.com/trickipedia/frontside-shuvit-nosegrind.html,goofy,am
jon nguyen,nollie 180 switch crooked grind,08-12-2014,http://theberrics.com/trickipedia/jon-nguyen-nollie-180-switch-crooked-grind.html,regular,am
trevor colden,nollie heelflip noseslide ,08-05-2014,http://theberrics.com/trickipedia/trevor-colden-nollie-heelflip-noseslide.html,regular,pro
tommy fynn,backside 180 nosegrind ,07-29-2014,http://theberrics.com/trickipedia/tommy-fynn-backside-180-nosegrind.html,goofy,pro
tj rogers,switch frontside 360 ollie ,07-22-2014,http://theberrics.com/trickipedia/tj-rogers-switch-frontside-360-ollie.html,regular,am
greg lutzka,bigspin frontside boardslide hd ,07-15-2014,http://theberrics.com/trickipedia/greg-lutzka-bigspin-frontside-boardslide.html,goofy,pro
ryan decenzo,switch 180 crooked grind,07-08-2014,http://theberrics.com/trickipedia/ryan-decenzo-switch-180-crooked-grind.html,regular,pro
nick tucker,nosegrind nollie heelflip out,07-01-2014,http://theberrics.com/trickipedia/nick-tucker-backside-nosegrind-nollie-heelflip-out.html,regular,am
peter raffin,slappy crooked grinds,06-24-2014,http://theberrics.com/trickipedia/slappy-crooks-peter-raffin.html,goofy,am
cody cepeda,switch double kickflip,06-10-2014,http://theberrics.com/trickipedia/switch-double-kickflip-cody-cepeda.html,goofy,am
neen williams,heelflip hd,06-03-2014,http://theberrics.com/trickipedia/neen-williams-heelflip.html,goofy,pro
carlos ribeiro,switch backside smith grind hd,05-13-2014,http://theberrics.com/trickipedia/carlos-ribeiro-switch-backside-smith-grind.html,regular,am
eric koston,fakie impossible,04-29-2014,http://theberrics.com/trickipedia/eric-koston-fakie-impossible.html,goofy,pro
paul rodriguez,bigspin heelflip,04-22-2014,http://theberrics.com/trickipedia/paul-rodriguez-bigspin-heelflip.html,goofy,pro
cj tambornino,nollie 360 inward heelflip,03-25-2014,http://theberrics.com/trickipedia/cj-tambornino-nollie-360-inward-heelflip.html,regular,am
trevor mcclung,fakie ollie backside crooked grind,03-18-2014,http://theberrics.com/trickipedia/trevor-mcclung-fakie-ollie-backside-crooked-grind.html,regular,am
ray barbee,360 no comply,03-11-2014,http://theberrics.com/trickipedia/ray-barbee-no-comply-360.html,goofy,pro
tommy sandoval,kickflip noseslide,03-04-2014,http://theberrics.com/trickipedia/kickflip-noseslide.html,regular,pro
dave bachinsky,kickflip frontside disaster,02-11-2014,http://theberrics.com/trickipedia/kickflip-frontside-disaster.html,regular,pro
david reyes,kickflip frontside crooked grind,02-04-2014,http://theberrics.com/trickipedia/kickflip-frontside-crooked-grind.html,regular,am
walker ryan,switch backside bigspin hd,01-28-2014,http://theberrics.com/trickipedia/switch-backside-bigspin-hd.html,regular,pro
sebo walker,nollie frontside 180 kickflip,01-14-2014,http://theberrics.com/trickipedia/nollie-frontside-180-kickflip.html,goofy,am
pj ladd,nollie backside 360 heelflip,01-07-2014,http://theberrics.com/trickipedia/nollie-backside-360-heelflip.html,regular,pro
chico brenes,fakie varial heelflip,12-24-2013,http://theberrics.com/trickipedia/fakie-varial-heelflip.html,regular,pro
davis torgerson,nollie backside 180 switch backside 5050,12-17-2013,http://theberrics.com/trickipedia/nollie-bs-180-switch-bs-5050.html,goofy,pro
brandon biebel,switch varial heelflip,12-10-2013,http://theberrics.com/trickipedia/switch-varial-heelflip.html,goofy,pro
andrew reynolds,nollie frontside 360 hd,12-03-2013,http://theberrics.com/trickipedia/nollie-frontside-360-hd.html,regular,pro
felipe gustavo,nollie frontside crooked grinds,11-26-2013,http://theberrics.com/trickipedia/nollie-frontside-crooked-grind.html,goofy,pro
cairo foster,front foot impossible,11-19-2013,http://theberrics.com/trickipedia/front-foot-impossible.html,goofy,pro
kenny hoyle,switch backside 180 heelflip,11-12-2013,http://theberrics.com/trickipedia/switch-backside-180-heelflip.html,goofy,pro
brandon westgate,frontside halfcab flip,11-05-2013,http://theberrics.com/trickipedia/frontside-halfcab-flip.html,goofy,pro
casper the ghost,casper flip,10-29-2013,http://theberrics.com/trickipedia/casper-flip.html,regular,am
keelan dadd,pressure flip,10-22-2013,http://theberrics.com/trickipedia/pressure-flip.html,regular,pro
